,ticker,cik
0,A,0001090872
1,AA,0001675149
2,AAIC,0001209028
3,AAMC,0001555074
4,AAN,0001808834
5,AAP,0001158449
6,AAT,0001500217
7,AAU,0001015647
8,AB,0000825313
9,ABB,0001091587
10,ABBV,0001551152
11,ABC,0001140859
12,ABEV,0001565025
13,ABG,0001144980
14,ABM,0000771497
15,ABR,0001253986
16,ABT,0000001800
17,AC,0001642122
18,ACA,0001739445
19,ACB,0001683541
20,ACC,0001283630
21,ACCO,0000712034
22,ACEL,0001698991
23,ACH,0001161611
24,ACI,0001646972
25,ACM,0000868857
26,ACN,0001467373
27,ACND,0001805651
28,ACP,0001503290
29,ACRE,0001529377
30,ACU,0000002098
31,ACV,0001636289
32,ACY,0001036848
33,ADC,0000917251
34,ADCT,0001771910
35,ADM,0000007084
36,ADNT,0001670541
37,ADS,0001101215
38,ADT,0001703056
39,ADX,0000002230
40,AE,0000002178
41,AEE,0001002910
42,AEF,0000846676
43,AEG,0000769218
44,AEL,0001039828
45,AEM,0000002809
46,AENZ,0001572621
47,AEO,0000919012
48,AER,0001378789
49,AES,0000874761
50,AFB,0001162027
51,AFC,0001287750
52,AFG,0001042046
53,AFGB,0001042046
54,AFGC,0001042046
55,AFGD,0001042046
56,AFGE,0001042046
57,AFI,0001655075
58,AFL,0000004977
59,AFT,0001502573
60,AG,0001308648
61,AGCO,0000880266
62,AGD,0001362481
63,AGE,0001708599
64,AGI,0001178819
65,AGM,0000845877
66,AGO,0001273813
67,AGR,0001634997
68,AGRO,0001499505
69,AGS,0001593548
70,AGX,0000100591
71,AHC,0001413898
72,AHH,0001569187
73,AHT,0001232582
74,AIC,0001209028
75,AIF,0001526697
76,AIG,0000005272
77,AIM,0000946644
78,AIN,0000819793
79,AINC,0001604738
80,AIO,0001778114
81,AIR,0000001750
82,AIRI,0001009891
83,AIT,0000109563
84,AIV,0000922864
85,AIW,0001209028
86,AIZ,0001267238
87,AIZN,0001267238
88,AIZP,0001267238
89,AJG,0000354190
90,AJRD,0000040888
91,AJX,0001614806
92,AKR,0000899629
93,AL,0001487712
94,ALB,0000915913
95,ALC,0001167379
96,ALE,0000066756
97,ALEX,0001545654
98,ALG,0000897077
99,ALK,0000766421
100,ALL,0000899051
101,ALLE,0001579241
102,ALLY,0000040729
103,ALSN,0001411207
104,ALTG,0001759824
105,ALUS,0001781115
106,ALV,0001034670
107,ALX,0000003499
108,AM,0001623925
109,AMBC,0000874501
110,AMBO,0001494558
111,AMC,0001411579
112,AMCR,0001748790
113,AME,0001037868
114,AMG,0001004434
115,AMH,0001562401
116,AMJ,0000019617
117,AMK,0001591587
118,AMN,0001142750
119,AMOV,0001129137
120,AMP,0000820027
121,AMPE,0001411906
122,AMPY,0001533924
123,AMRC,0001488139
124,AMRX,0001723128
125,AMS,0000744825
126,AMT,0001053507
127,AMTR,0001114446
128,AMUB,0001114446
129,AMWL,0001393584
130,AMX,0001129137
131,AN,0000350698
132,ANET,0001596532
133,ANF,0001018840
134,ANH,0001047884
135,ANTM,0001156039
136,ANVS,0001477845
137,AOD,0001379400
138,AON,0000315293
139,AONE,0001816613
140,AOS,0000091142
141,AP,0000006176
142,APAM,0001517302
143,APD,0000002969
144,APG,0001796209
145,APH,0000820313
146,APLE,0001418121
147,APO,0001411494
148,APRN,0001701114
149,APSG,0001820872
150,APT,0000884269
151,APTS,0001481832
152,APTV,0001521332
153,AQN,0001174169
154,AQNA,0001174169
155,AQNB,0001174169
156,AQUA,0001604643
157,AR,0001433270
158,ARA,0001498068
159,ARC,0001305168
160,ARCH,0001037676
161,ARCO,0001508478
162,ARD,0001689662
163,ARE,0001035443
164,ARES,0001176948
165,ARGD,0001091748
166,ARGO,0001091748
167,ARI,0001467760
168,ARL,0001102238
169,ARLO,0001736946
170,ARMK,0001584509
171,ARMP,0000921114
172,ARNC,0001790982
173,AROC,0001389050
174,ARR,0001428205
175,ARW,0000007536
176,ASA,0001230869
177,ASAN,0001477720
178,ASAQ,0001819510
179,ASB,0000007789
180,ASC,0001577437
181,ASG,0000786035
182,ASGN,0000890564
183,ASH,0001674862
184,ASIX,0001673985
185,ASM,0000316888
186,ASPL,0001819516
187,ASPN,0001145986
188,ASR,0001123452
189,ASX,0001122411
190,AT,0001419242
191,ATCO,0001794846
192,ATEN,0001580808
193,ATGE,0000730464
194,ATH,0001527469
195,ATHM,0001527636
196,ATI,0001018963
197,ATKR,0001666138
198,ATMP,0000312070
199,ATNM,0001388320
200,ATO,0000731802
201,ATR,0000896622
202,ATTO,0001606457
203,ATUS,0001702780
204,ATV,0001365742
205,AU,0001067428
206,AUMN,0001011509
207,AUY,0001264089
208,AVA,0000104918
209,AVAL,0001504764
210,AVAN,0001819608
211,AVB,0000915912
212,AVD,0000005981
213,AVK,0001219120
214,AVLR,0001348036
215,AVNS,0001606498
216,AVNT,0001122976
217,AVTR,0001722482
218,AVY,0000008818
219,AVYA,0001418100
220,AWF,0000906013
221,AWI,0000007431
222,AWK,0001410636
223,AWP,0001390195
224,AWR,0001056903
225,AWX,0001061069
226,AX,0001299709
227,AXL,0001062231
228,AXO,0001299709
229,AXP,0000004962
230,AXR,0000006207
231,AXS,0001214816
232,AXTA,0001616862
233,AXU,0001364128
234,AYI,0001144215
235,AYX,0001689923
236,AZEK,0001782754
237,AZO,0000866787
238,AZRE,0001633438
239,AZUL,0001432364
240,AZZ,0000008947
241,B,0000009984
242,BA,0000012927
243,BABA,0001577552
244,BAC,0000070858
245,BAF,0001181026
246,BAH,0001443646
247,BAK,0001071438
248,BAL,0000312070
249,BALY,0001747079
250,BAM,0001001085
251,BANC,0001169770
252,BAP,0001001290
253,BAR,0001690437
254,BATL,0001282648
255,BAX,0000010456
256,BB,0001070235
257,BBAR,0000913059
258,BBD,0001160330
259,BBDC,0001379785
260,BBDO,0001160330
261,BBF,0001137392
262,BBK,0001167467
263,BBL,0001171264
264,BBN,0001493683
265,BBU,0001654795
266,BBVA,0000842180
267,BBW,0001113809
268,BBY,0000764478
269,BC,0000014930
270,BCAT,0001809541
271,BCC,0001328581
272,BCE,0000718940
273,BCEI,0001509589
274,BCH,0001161125
275,BCM,0000312070
276,BCO,0000078890
277,BCS,0000312069
278,BCSF,0001655050
279,BCV,0000009521
280,BCX,0001506289
281,BDC,0000913142
282,BDCZ,0001114446
283,BDJ,0001332283
284,BDL,0000012040
285,BDN,0000790816
286,BDR,0001000683
287,BDX,0000010795
288,BDXB,0000010795
289,BE,0001664703
290,BEDU,0001696355
291,BEKE,0001809587
292,BEN,0000038777
293,BEP,0001533232
294,BEPC,0001791863
295,BERY,0001378992
296,BEST,0001709505
297,BFAM,0001437578
298,BFK,0001137393
299,BFO,0001181249
300,BFS,0000907254
301,BFT,0001818355
302,BFY,0001176197
303,BFZ,0001137391
304,BG,0001144519
305,BGB,0001546429
306,BGH,0001521404
307,BGI,0001179821
308,BGIO,0001691433
309,BGR,0001306550
310,BGS,0001278027
311,BGSF,0001474903
312,BGT,0001287480
313,BGX,0001504234
314,BGY,0001393299
315,BH,0001726173
316,BHB,0000743367
317,BHC,0000885590
318,BHE,0000863436
319,BHK,0001160864
320,BHLB,0001108134
321,BHP,0000811809
322,BHR,0001574085
323,BHV,0001169034
324,BHVN,0001689813
325,BIF,0000102426
326,BIG,0000768835
327,BILL,0001786352
328,BIO,0000012208
329,BIOX,0001769484
330,BIP,0001406234
331,BIPC,0001788348
332,BIT,0001562818
333,BJ,0001531152
334,BK,0001390777
335,BKD,0001332349
336,BKE,0000885245
337,BKH,0001130464
338,BKI,0001627014
339,BKK,0001181250
340,BKN,0000894242
341,BKR,0001701605
342,BKT,0000832327
343,BKTI,0000002186
344,BKU,0001504008
345,BLD,0001633931
346,BLE,0001176194
347,BLK,0001364742
348,BLL,0000009389
349,BLW,0001233681
350,BLX,0000890541
351,BMA,0001347426
352,BME,0001314966
353,BMI,0000009092
354,BMO,0000927971
355,BMY,0000014272
356,BNED,0001634117
357,BNL,0001424182
358,BNS,0000009631
359,BNY,0001137390
360,BOE,0001320375
361,BOH,0000046195
362,BOOT,0001610250
363,BORR,0001715497
364,BOX,0001372612
365,BP,0000313807
366,BPMP,0001708301
367,BPT,0000850033
368,BQ,0001815021
369,BR,0001383312
370,BRBR,0001772016
371,BRBS,0000842717
372,BRC,0000746598
373,BRFS,0001122491
374,BRG,0001442626
375,BRMK,0001784797
376,BRN,0000010048
377,BRO,0000079282
378,BRT,0000014846
379,BRX,0001581068
380,BSA,0001748824
381,BSAC,0001027552
382,BSBR,0001471055
383,BSD,0001089094
384,BSE,0001181024
385,BSIG,0001748824
386,BSL,0001486298
387,BSM,0001621434
388,BSMX,0001698287
389,BSN,0001815805
390,BST,0001616678
391,BSTZ,0001768666
392,BSX,0000885725
393,BTA,0001343793
394,BTE,0001279495
395,BTG,0001429937
396,BTI,0001303523
397,BTN,0000946454
398,BTO,0000925683
399,BTT,0001528437
400,BTU,0001064728
401,BTZ,0001379384
402,BUD,0001668717
403,BUI,0001528988
404,BUR,0001714174
405,BURL,0001579298
406,BV,0001734713
407,BVH,0000315858
408,BVN,0001013131
409,BW,0001630805
410,BWA,0000908255
411,BWG,0001504545
412,BWXT,0001486957
413,BX,0001393818
414,BXC,0001301787
415,BXG,0000778946
416,BXMT,0001061630
417,BXMX,0001298699
418,BXP,0001037540
419,BXS,0001299939
420,BY,0001702750
421,BYD,0000906553
422,BYM,0001181187
423,BZH,0000915840
424,BZM,0001169029
425,C,0000831001
426,CAAP,0001717393
427,CABO,0001632127
428,CACI,0000016058
429,CADE,0001614184
430,CAE,0001173382
431,CAF,0001368493
432,CAG,0000023217
433,CAH,0000721371
434,CAI,0001388430
435,CAJ,0000016988
436,CAL,0000014707
437,CALX,0001406666
438,CANF,0001536196
439,CANG,0001725123
440,CAPE,0000312070
441,CAPL,0001538849
442,CARR,0001783180
443,CARS,0001683606
444,CAT,0000018230
445,CATO,0000018255
446,CB,0000896159
447,CBB,0000716133
448,CBD,0001038572
449,CBH,0001701809
450,CBOE,0001374310
451,CBRE,0001138118
452,CBT,0000016040
453,CBU,0000723188
454,CBZ,0000944148
455,CC,0001627223
456,CCAC,0001794621
457,CCC,0001764046
458,CCEP,0001650107
459,CCF,0000830524
460,CCI,0001051470
461,CCIV,0001811210
462,CCJ,0001009001
463,CCK,0001219601
464,CCL,0000815097
465,CCM,0001472072
466,CCO,0001334978
467,CCR,0001637558
468,CCS,0001576940
469,CCU,0000888746
470,CCX,0001774675
471,CCZ,0001166691
472,CDAY,0001725057
473,CDE,0000215466
474,CDOR,0000929545
475,CDR,0000761648
476,CE,0001306830
477,CEA,0001030475
478,CEE,0000860489
479,CEI,0001309082
480,CEIX,0001710366
481,CEL,0001385145
482,CELP,0001587246
483,CEM,0001488775
484,CEN,0001576340
485,CEO,0001095595
486,CEPU,0001717161
487,CEQP,0001136352
488,CEQP$,0001136352
489,CET,0000018748
490,CEV,0001074692
491,CF,0001324404
492,CFG,0000759944
493,CFR,0000039263
494,CFX,0001420800
495,CGA,0000857949
496,CHA,0001191255
497,CHAQ,0001799850
498,CHCT,0001631569
499,CHD,0000313927
500,CHE,0000019584
501,CHGG,0001364954
502,CHH,0001046311
503,CHL,0001117795
504,CHMI,0001571776
505,CHN,0000845379
506,CHRA,0001730346
507,CHS,0000897429
508,CHT,0001132924
509,CHU,0001113866
510,CHWY,0001766502
511,CHX,0001723089
512,CI,0001739940
513,CIA,0000024090
514,CIB,0001071371
515,CIEN,0000936395
516,CIF,0000833021
517,CIG,0001157557
518,CII,0001278895
519,CIK,0000810766
520,CIM,0001409493
521,CINR,0001575051
522,CIO,0001593222
523,CIR,0001091883
524,CIT,0001171825
525,CIX,0001049606
526,CIXX,0001829948
527,CKH,0000859598
528,CKX,0000352955
529,CL,0000021665
530,CLA,0001816581
531,CLB,0001000229
532,CLDR,0001535379
533,CLDT,0001476045
534,CLF,0000764065
535,CLGX,0000036047
536,CLH,0000822818
537,CLI,0000924901
538,CLII,0001821159
539,CLM,0000814083
540,CLNC,0001717547
541,CLNY,0001679688
542,CLPR,0001649096
543,CLR,0000732834
544,CLS,0001030894
545,CLW,0001441236
546,CLX,0000021076
547,CM,0001045520
548,CMA,0000028412
549,CMC,0000022444
550,CMCL,0000766011
551,CMCM,0001597835
552,CMD,0000019446
553,CMG,0001058090
554,CMI,0000026172
555,CMO,0000766701
556,CMP,0001227654
557,CMRE,0001503584
558,CMS,0000811156
559,CMSA,0000811156
560,CMSC,0000811156
561,CMSD,0000811156
562,CMT,0001026655
563,CMU,0000809844
564,CNA,0000021175
565,CNC,0001071739
566,CNF,0001733868
567,CNHI,0001567094
568,CNI,0000016868
569,CNK,0001385280
570,CNMD,0000816956
571,CNNE,0001704720
572,CNO,0001224608
573,CNP,0001130310
574,CNQ,0001017413
575,CNR,0000883902
576,CNS,0001284812
577,CNX,0001070412
578,CO,0001467808
579,CODI,0001345126
580,COE,0001659494
581,COF,0000927628
582,COG,0000858470
583,COHN,0001270436
584,COLD,0001455863
585,COO,0000711404
586,COP,0001163165
587,COR,0001490892
588,CORR,0001347652
589,COTY,0001024305
590,COW,0000312070
591,CP,0000016875
592,CPA,0001345105
593,CPAC,0001221029
594,CPB,0000016732
595,CPE,0000928022
596,CPF,0000701347
597,CPG,0001545851
598,CPHI,0001106644
599,CPK,0000019745
600,CPLG,0001707178
601,CPRI,0001530721
602,CPS,0001320461
603,CPSR,0001805087
604,CPT,0000906345
605,CQP,0001383650
606,CR,0000025445
607,CRC,0001609253
608,CRF,0000033934
609,CRH,0000849395
610,CRHC,0001818212
611,CRHM,0001461119
612,CRI,0001060822
613,CRK,0000023194
614,CRL,0001100682
615,CRM,0001108524
616,CRMD,0001410098
617,CROC,0001415311
618,CRS,0000017843
619,CRT,0000881787
620,CRY,0000784199
621,CS,0001159510
622,CSL,0000790051
623,CSLT,0001433714
624,CSPR,0001598674
625,CSTM,0001563411
626,CSU,0001043000
627,CSV,0001016281
628,CTAA,0000068622
629,CTB,0000024491
630,CTBB,0000068622
631,CTDD,0000068622
632,CTEK,0001011432
633,CTK,0001734262
634,CTLT,0001596783
635,CTO,0000023795
636,CTR,0001547341
637,CTRA,0001704715
638,CTS,0000026058
639,CTT,0001341141
640,CTVA,0001755672
641,CTY,0000068622
642,CUB,0000026076
643,CUBE,0001298675
644,CUBI,0001488813
645,CUK,0001125259
646,CULP,0000723603
